domain,registrar,creation_date,expiration_date,status,name_servers
00.com,"GoDaddy.com, LLC",820818000,1745478711,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns05.domaincontrol.com"", ""ns06.domaincontrol.com""}"
01.com,"eName Technology Co., Ltd.",846824400,1793419200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dnsmadeeasy.com"", ""ns2.dnsmadeeasy.com"", ""ns0.dnsmadeeasy.com"", ""ns1.dnsmadeeasy.com"", ""ns3.dnsmadeeasy.com""}"
03.com,"Network Solutions, LLC",888210000,1897966800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.03.com"", ""ns1.03.com""}"
04.com,"Network Solutions, LLC",888210000,1897966800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.123008.com"", ""ns1.123008.com""}"
05.com,"Network Solutions, LLC",905832000,1852516800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.a2hosting.com"", ""ns1.a2hosting.com""}"
06.com,"GoDaddy.com, LLC",952342546,1741260946,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns30.domaincontrol.com"", ""ns29.domaincontrol.com""}"
07.com,"eName Technology Co., Ltd.",894340800,1862498916,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
08.com,"eName Technology Co., Ltd.",900043200,1878264000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
09.com,"Network Solutions, LLC",894340800,1872561600,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.852.com"", ""ns2.852.com""}"
0a.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",959683747,1622371747,ok https://icann.org/epp#ok,"{""f1g1ns1.dnspod.net"", ""f1g1ns2.dnspod.net""}"
0b.com,"eName Technology Co., Ltd.",894081600,1619841600,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
0c.com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",894254400,1777780800,ok https://icann.org/epp#ok,"{""dns7.hichina.com"", ""ns4.dns.com"", ""ns3.dns.com"", ""dns8.hichina.com""}"
0d.com,"eName Technology Co., Ltd.",894254400,1714708800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
0e.com,FastDomain Inc.,894686400,1620446400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.bluehost.com"", ""ns2.bluehost.com""}"
0f.com,"GoDaddy.com, LLC",894686400,1620446400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns02.cashparking.com"", ""ns01.cashparking.com""}"
0g.com,"eName Technology Co., Ltd.",895464000,1639544399,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""f1g1ns1.dnspod.net"", ""f1g1ns2.dnspod.net""}"
