domain,registrar,creation_date,expiration_date,status,name_servers
00.net,"eName Technology Co., Ltd.",844660800,1601956800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.51dns.com"", ""ns2.51dns.com""}"
01.net,"GoDaddy.com, LLC",917586000,1611896400,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
03.net,"GoDaddy.com, LLC",841464000,1661832000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns0.03.net"", ""ns.vimus.net"", ""ns1.03.net""}"
04.net,"GMO Internet, Inc. d/b/a Onamae.com",936320653,1788397453,ok https://icann.org/epp#ok,"{""ns.namedserver.net"", ""ns2.namedserver.net""}"
05.net,"GMO Internet, Inc. d/b/a Onamae.com",936319042,1788395842,ok https://icann.org/epp#ok,"{""ns.namedserver.net"", ""ns2.namedserver.net""}"
06.net,"GoDaddy.com, LLC",896414400,1716868800,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns70.domaincontrol.com"", ""ns69.domaincontrol.com""}"
07.net,"Network Solutions, LLC",898574400,1876795200,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""1.07.net"", ""2.07.net""}"
08.net,"GoDaddy.com, LLC",851317200,1671685200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.4.cn"", ""ns1.4.cn""}"
09.net,"eName Technology Co., Ltd.",842587200,1599883200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
0a.net,"GoDaddy.com, LLC",951392335,1614166735,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.squadhelp.com"", ""ns1.squadhelp.com""}"
0b.net,PDR Ltd. d/b/a PublicDomainRegistry.com,1055268846,1591812846,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
0c.net,Moniker Online Services LLC,1055268847,1591812847,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.dsredirection.com"", ""ns1.dsredirection.com""}"
0d.net,"GoDaddy.com, LLC",953552573,1616236973,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
0e.net,FastDomain Inc.,945417779,1608192178,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.bluehost.com"", ""ns2.bluehost.com""}"
0g.net,"GoDaddy.com, LLC",946991449,1609765849,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
0h.net,"eName Technology Co., Ltd.",938663914,1601438315,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""dns4.dns.com"", ""ns3.dns.com"", ""dns3.dns.com""}"
0i.net,"DYNADOT, LLC",897710400,1623470400,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
0j.net,"GoDaddy.com, LLC",1055268848,1591812848,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
