domain,registrar,creation_date,expiration_date,status,name_servers
00.org,Epik Inc.,1037949914,1606029914,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.epik.com"", ""ns3.epik.com""}"
01.org,"CSC Corporate Domains, Inc.",884840400,1799902800,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns4.intel.com"", ""ns2.intel.com"", ""ns3.intel.com"", ""ns1.intel.com""}"
02.org,"eName Technology Co., Ltd.",906523200,1632283200,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns4.dns.com"", ""ns3.dns.com""}"
03.org,"Net-Chinese Co., Ltd.",924753600,1650600000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ens1.net-chinese.com.tw"", ""ens2.net-chinese.com.tw""}"
04.org,Uniregistrar Corp,946552651,1609327051,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.voodoo.com"", ""ns1.voodoo.com""}"
05.org,"GoDaddy.com, LLC",924753600,1619064000,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns50.domaincontrol.com"", ""ns49.domaincontrol.com""}"
06.org,Epik Inc.,924753600,1619064000,ok https://icann.org/epp#ok,"{""ns4.epik.com"", ""ns3.epik.com""}"
07.org,"Network Solutions, LLC",881125200,1606885200,ok https://icann.org/epp#ok,"{""ns2.sedoparking.com"", ""ns1.sedoparking.com""}"
08.org,Uniregistrar Corp,913266000,1607490000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.voodoo.com"", ""ns1.voodoo.com""}"
09.org,"Dynadot, LLC",908856000,1603080000,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns2.voodoo.com"", ""ns1.voodoo.com""}"
0a.org,"Dynadot, LLC",952949074,1615637074,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.parkingcrew.net"", ""ns2.parkingcrew.net""}"
0d.org,Danesco Trading Ltd.,1336421519,1620418319,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2.voodoo.com"", ""ns1.voodoo.com""}"
0e.org,FastDomain Inc.,952862486,1615550486,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.bluehost.com"", ""ns2.bluehost.com""}"
0f.org,"Wild West Domains, LLC",985464534,1616616534,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""verification-m6mwtup7.ns3.dan.hosting"", ""ns2.dan.com"", ""ns1.dan.com""}"
0g.org,FastDomain Inc.,947436930,1610211330,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"{""ns1.bluehost.com"", ""ns2.bluehost.com""}"
0h.org,"GoDaddy.com, LLC",952949074,1615637074,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.uniregistrymarket.link"", ""ns2.uniregistrymarket.link""}"
0i.org,"eName Technology Co., Ltd.",952862485,1615550485,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns2-show.myhostadmin.net"", ""ns1-show.myhostadmin.net""}"
0j.org,"GoDaddy.com, LLC",952862485,1615550485,clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited,"{""ns1.namefind.com"", ""ns2.namefind.com""}"
